License Type Name,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,Latitude,Longitude
WINERY,SCHUYLER,VALKYRIE CRAFTED LIBATIONS INC,,4732 RTE 414,1ST FL,BURDETT,NY,14818,42.46233,-76.86494
WINERY,SCHUYLER,DONNA D LUCENT,POMPOUS ASS WINE COMPANY,4499 ROUTE 14,,ROCK STREAM,NY,14878,42.4511206,-76.90924779
WINERY,SCHUYLER,HAZLITTS 1852 VINEYARDS INC,HAZLITTS 1852 VINEYARDS,5712 RTE 414,,HECTOR,NY,14841,42.51050559,-76.87671294
WINERY / FARM WINERY RETAIL,SCHUYLER,DOYLE ACQUISITION CORPORATION,SENECA HARBOR WINE CENTER,2 N FRANKLIN ST,,WATKINS GLEN,NY,14891,42.3835197,-76.87515622
"DISTILLER ""C""",SENECA,KNAPP FARMS INC,KNAPP VINEYARDS,2770 COUNTY ROAD 128,,ROMULUS,NY,14541,42.76579757,-76.78321102
"DISTILLER ""C""",SENECA,SWEDISH HILL VINEYARD INC,"(DISTILLER ""C"")",4565 ROUTE 414,,ROMULUS,NY,14541,42.21985421,-76.97419268
FARM BREWER,SENECA,BANDWAGON BREWERY LLC,BANDWAGON BREWERY,3582 WEST AVE,,INTERLAKEN,NY,14847,42.61638,-76.72875
FARM BREWER,SENECA,BOTTOMLESS BREWING LLC,,3543 E LAKE RD,,GENEVA,NY,14456,42.85389,-76.93345
FARM BREWER,SENECA,LOST KINGDOM BREWERY INC,LOST KINGDOM BREWERY,7160 MAIN ST,,OVID,NY,14521,42.67761,-76.82307
FARM BREWER,SENECA,FLEUR DE LIS BREW WORKS LLC,,3630 STATE RTE 414,,SENECA FALLS,NY,13148,42.84887,-76.80791
FARM BREWER,SENECA,GROWLIN BEER CORPORATION,LAKE DRUM BREWING,16 E CASTLE ST,,GENEVA,NY,14456,42.86797979,-76.98119853
"FARM DISTILLER ""D""",SENECA,MARTINS HONEY FARM & MEADERY LLC,HIDDEN MARSH DISTILLERY,2981 AUBURN ROAD,,SENECA FALLS,NY,13148,42.9548491,-76.75689926
"FARM DISTILLER ""D""",SENECA,LOST KINGDOM BREWERY INC,FIRE HOUSE DISTILLERY,7160 MAIN ST,,OVID,NY,14521,42.67761,-76.82307
"FARM DISTILLER ""D""",SENECA,PLOW & FIDDLE SPIRITS LLC,MYER FARM DISTILLERS,7350 STATE ROUTE 89,,OVID,NY,14521,42.66911418,-76.73065884
"FARM DISTILLER ""D""",SENECA,VARICK WINERY & VINEYARD LLC,,5102 RTE 89,,ROMULUS,NY,14541,42.7773,-76.77022
FARM WINERY,SENECA,FINGER LAKES CIDER HOUSE LLC,GOOD LIFE CIDER,4017 HICKOK RD,,INTERLAKEN,NY,14847,42.6066,-76.69987
FARM WINERY,SENECA,VARICK WINERY & VINEYARD LLC,,5102 RTE 89,,ROMULUS,NY,14541,42.77757904,-76.76979976
FARM WINERY,SENECA,THIRSTY OWL WINE COMPANY INC,THIRSTY OWL WINE COMPANY,6799 ELM BEACH ROAD,,OVID,NY,14521,42.69271231,-76.74525076
FARM WINERY,SENECA,MARTINS HONEY FARM & MEADERY LLC,MONTEZUMA WINERY,2981 AUBURN RD,,SENECA FALLS,NY,13148,42.9548491,-76.75689926
FARM WINERY,SENECA,MURANDA LLC,MURANDA CHEESE CO,3075 RTE 96 S,BUILDINGS 1 & 2,WATERLOO,NY,13165,42.87596,-76.85378
FARM WINERY,SENECA,BARTONS HARD CIDER LLC,BELLWETHER HARD CIDER,9070 ROUTE 89,,TRUMANSBURG,NY,14886,42.58580915,-76.67245576
FARM WINERY,SENECA,THREE BROTHERS WINERIES & ESTATES LLC,STONY LONESOME WINE CELLARS/PASSION FEET VINEYARDS,623 LERCH RD,T/O FAYETTE,GENEVA,NY,14456,42.82041009,-76.92284593
FARM WINERY,SENECA,WAGNER WINERY LLC,WAGNER VINEYARDS,9322 ROUTE 414,,LODI,NY,14860,42.57353499,-76.85819852
FARM WINERY,SENECA,ZUGIBE ENTERPRISES LLC,ZUGIBE VINEYARDS,4277 E LAKE ROAD,,GENEVA,NY,14456,42.81545765,-76.93139539
FARM WINERY,SENECA,BELHURST ESTATE WINERY INC,,5525 E LAKE ROAD,,ROMULUS,NY,14541,42.75760688,-76.92116014
FARM WINERY,SENECA,SWEDISH HILL VINEYARD INC,GOOSE WATCH WINERY,5480 ROUTE 89,,ROMULUS,NY,14541,42.75869258,-76.77027273
FARM WINERY,SENECA,AMERICANA VINEYARDS & WINERY INC,,4367 E COVERT RD,,INTERLAKEN,NY,14847,42.57546848,-76.677703
FARM WINERY,SENECA,G THOMAS & MARTHA K MACINSKI,STANDING STONE VINEYARDS,9934 ROUTE 414,,HECTOR,NY,14841,42.54473865,-76.87256149
FARM WINERY,SENECA,TORO RUN WINERY LLC,,3050 SWICK RD,,OVID,NY,14521,42.726434,-76.76250552
FARM WINERY,SENECA,LAKESHORE WINERY INC,LAKESHORE WINERY,5132 ROUTE 89,,ROMULUS,NY,14541,42.77619937,-76.76969279
FARM WINERY,SENECA,BOUNDARY BREAKS LLC,,1428 PORTER COVERT RD,,LODI,NY,14860,42.6298236,-76.87132041
FARM WINERY,SENECA,LAMOREAUX LANDING WINE CELLARS LLC,LAMOREAUX LANDING WINE,9224 ROUTE 414,,LODI,NY,14860,42.57860189,-76.85718662
FARM WINERY,SENECA,KELLEY ONEILL,RANDOLPH O'NEILL VINEYARD,6965 RTE 89,,OVID,NY,14521,42.68659411,-76.74505515
FARM WINERY,SENECA,JAMES ANDREW DOOLITTLE,FRONTENAC POINT VINEYARD,9501 ROUTE 89,,TRUMANSBURG,NY,14886,42.56348408,-76.64709668
FARM WINERY,SENECA,MARKAN CORPORATION,PLANE'S CAYUGA VINEYARD,6800 STATE ROUTE 89,,OVID,NY,14521,42.69430203,-76.74426899
FARM WINERY,SENECA,ROBIN'S VINES LLC,BUTTONWOOD GROVE WINERY,5986 STATE RTE 89,,ROMULUS,NY,14541,42.73456,-76.76762
FARM WINERY,SENECA,SILVER THREAD VINEYARD LLC,SILVER THREAD VINEYARD,1401 CAYWOOD ROAD,,LODI,NY,14860,42.56172009,-76.87833929
